ctrl_iteration,exec_time,tau_i,tau_o
818,2613.05,1.25,0.45
819,2421.43,1.25,0.45
820,2229.45,1.20,0.45
821,2037.73,1.25,0.45
822,1846.15,1.25,0.50
823,2644.74,1.25,0.45
824,4415.57,1.25,0.45
825,3250.69,1.25,0.45
826,4040.37,1.25,0.45
827,2867.74,1.20,0.45
828,4648.03,1.25,0.45
829,3482.77,1.25,0.45
830,3290.54,1.20,0.45
831,4089.06,1.25,0.45
832,2924.90,1.25,0.45
833,1768.68,1.20,0.45
834,6485.08,1.25,0.45
835,5320.24,1.25,0.45
836,4433.73,1.20,0.45
837,3972.56,1.20,0.45
838,2824.85,1.20,0.45
839,4587.87,1.20,0.45
840,3422.48,1.25,0.45
841,2258.90,1.25,0.45
842,4029.26,1.20,0.45
843,1883.95,1.25,0.45
844,2681.82,1.20,0.45
845,2489.69,1.20,0.45
846,2298.74,1.25,0.45
847,2106.96,1.25,0.45
848,1923.34,1.20,0.45
849,2704.32,1.25,0.45
850,2521.39,1.25,0.45
851,2330.07,1.25,0.45
852,2146.46,1.20,0.45
853,3917.34,1.20,0.45
854,2745.12,1.20,0.45
855,3534.17,1.25,0.45
856,3342.63,1.20,0.45
857,4131.77,1.25,0.45
858,2985.17,1.20,0.45
859,2775.64,1.25,0.45
860,4546.28,1.25,0.45
861,3373.56,1.25,0.45
862,4163.38,1.25,0.45
863,2998.73,1.25,0.45
864,2807.68,1.25,0.50
865,4569.10,1.25,0.45
866,3404.57,1.20,0.45
867,4194.67,1.25,0.45
868,3030.37,1.25,0.45
869,3811.24,1.25,0.45
870,4601.42,1.25,0.45
871,3436.84,1.25,0.45
872,2271.46,1.25,0.45
873,2080.35,1.25,0.45
874,1888.27,1.25,0.50
875,2677.57,1.25,0.45
876,2486.29,1.25,0.45
877,2294.69,1.25,0.45
878,2128.84,1.25,0.45
879,1911.13,1.20,0.45
880,2709.19,1.25,0.45
881,2517.88,1.25,0.45
882,4288.81,1.25,0.45
883,4097.34,1.20,0.45
884,3913.98,1.25,0.45
885,2741.23,1.20,0.45
886,3538.49,1.25,0.45
887,3338.83,1.20,0.45
888,4120.53,1.25,0.45
889,2946.23,1.25,0.45
890,1773.39,1.20,0.45
891,6463.31,1.25,0.45
892,5290.19,1.20,0.45
893,5097.98,1.25,0.45
894,3924.15,1.25,0.45
895,2751.56,1.25,0.45
896,4531.05,1.25,0.45
897,3358.46,1.25,0.45
898,3191.78,1.25,0.45
899,3964.43,1.25,0.45
900,2799.26,1.20,0.45
901,3589.76,1.25,0.45
902,3405.94,1.20,0.45
903,2233.18,1.25,0.45
904,2041.69,1.25,0.45
905,1849.70,1.25,0.45
906,2639.35,1.25,0.45
907,2447.82,1.20,0.45
908,2255.91,1.20,0.45
909,2064.23,1.25,0.45
910,1872.08,1.25,0.45
911,2662.48,1.25,0.45
912,2469.85,1.20,0.45
913,4233.07,1.25,0.45
914,3067.68,1.25,0.45
915,2884.43,1.20,0.50
916,3674.82,1.25,0.45
917,3474.37,1.20,0.45
918,4264.57,1.25,0.45
919,3090.77,1.20,0.45
920,1925.74,1.25,0.45
921,6625.07,1.25,0.45
922,5451.17,1.20,0.45
